,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
130,13241496,"1329 Cedar Ave, Boulder, CO 80304",1329 Cedar Ave,Boulder,80304,4,3,3544,2245000,40.02845,-105.2792
131,13214894,"3138 29th Street, Boulder, CO 80301",3138 29th Street,Boulder,80301,4,4,2677,869000,40.031708,-105.25631
132,13179619,"2700 15th St, Boulder, CO 80304",2700 15th St,Boulder,80304,5,4,4125,3500000,40.02567,-105.27637
133,13183310,"1500 Sunset Blvd, Boulder, CO 80304",1500 Sunset Blvd,Boulder,80304,4,3,2579,3199000,40.02322,-105.27728
134,121151826,"3717 Paonia St, Boulder, CO 80301",3717 Paonia St,Boulder,80301,4,5,4690,2450000,40.04273,-105.253075
135,296358060,"2530 28th Street  Unit 118, Boulder, CO 80301",2530 28th Street  Unit 118,Boulder,80301,2,2,1294,849500,40.026688,-105.25728
136,13196490,"514 Granite Dr, Boulder, CO 80302",514 Granite Dr,Boulder,80302,3,3,2890,2695000,40.02753,-105.31711
137,13179973,"3776 Orange Ln, Boulder, CO 80304",3776 Orange Ln,Boulder,80304,4,3,3130,2750000,40.04247,-105.28363
138,118267240,"3255 Ouray St, Boulder, CO 80301",3255 Ouray St,Boulder,80301,3,4,3402,1350000,40.04328,-105.25037
139,13197615,"7373 Spring Dr, Boulder, CO 80303",7373 Spring Dr,Boulder,80303,3,5,5215,6375000,39.974358,-105.18062
140,2061275575,"2010 Pearl Street  Unit B, Boulder, CO 80302",2010 Pearl Street  Unit B,Boulder,80302,3,4,1892,1792000,40.020103,-105.2693
141,13181095,"2205 Bluff St, Boulder, CO 80304",2205 Bluff St,Boulder,80304,4,3,2626,2250000,40.02481,-105.26813
142,335666728,"2115 Vine Ave, Boulder, CO 80304",2115 Vine Ave,Boulder,80304,5,5,5093,2725000,40.053875,-105.26945
143,316832928,"3107 Bluff St, Boulder, CO 80301",3107 Bluff St,Boulder,80301,4,3,2007,1200000,40.02757,-105.25192
144,13197078,"2936 Linden Dr, Boulder, CO 80304",2936 Linden Dr,Boulder,80304,4,5,5397,3200000,40.053642,-105.313545
145,13243446,"955 Utica Cir, Boulder, CO 80304",955 Utica Cir,Boulder,80304,4,4,3096,1850000,40.05207,-105.28388
146,13181615,"2340 Panorama Ave, Boulder, CO 80304",2340 Panorama Ave,Boulder,80304,3,2,1204,1629500,40.026108,-105.26628
147,13200426,"1283 Cavan St, Boulder, CO 80303",1283 Cavan St,Boulder,80303,3,2,2096,850000,40.00906,-105.13682
148,344853598,"1052 Sugarloaf Ln, Erie, CO 80516",1052 Sugarloaf Ln,Erie,80516,3,3,1438,516395,40.015404,-105.35309
