address,addressZipcode,beds,baths,area,price,year,source
"2930 BROADWAY  B302, BOULDER, CO 80304",80304,2.0,2.5,2153.0,1419000,2018,bouldercounty
"4304 HAMPTON CIR , BOULDER, CO 80301",80301,5.0,3.0,4592.0,1000000,2018,bouldercounty
"3272 BIG HORN ST , BOULDER, CO 80301-3257",80301-3257,5.0,3.5,3446.0,985000,2018,bouldercounty
"2823 SPRINGDALE LN , SAN FRANCISCO, CA 94109",94109,3.0,3.0,2098.0,620000,2018,bouldercounty
"600 MANHATTAN DR 4C, BOULDER, CO 80303",80303,2.0,2.0,1152.0,360000,2018,bouldercounty
"3957 FULLER CT , BOULDER, CO 80304",80304,4.0,2.0,2214.0,663000,2018,bouldercounty
"1825 MARINE ST 11, BOULDER, CO 80301",80301,1.0,1.0,412.0,310000,2018,bouldercounty
"2227 CANYON BLVD 414A, BOULDER, CO 80302",80302,2.0,1.5,1059.0,369000,2018,bouldercounty
"916 12TH ST , METAIRIE, LA 70003",70003,4.0,2.0,2014.0,1250000,2018,bouldercounty
"5000 BUTTE ST 163, BOULDER, CO 80301",80301,0.0,0.0,0.0,26395,2018,bouldercounty
"1521 48TH ST 11, BOULDER, CO 80305-7137",80305-7137,3.0,2.5,2310.0,631500,2018,bouldercounty
"3025 BROADWAY  1, BOULDER, CO 80305-6919",80305-6919,2.0,2.0,852.0,415000,2018,bouldercounty
"1343 BLUEBELL AVE , BOULDER, CO 80302",80302,4.0,2.0,2372.0,1100000,2018,bouldercounty
"4125 47TH ST A, BOULDER, CO 80301",80301,2.0,2.0,1190.0,180700,2018,bouldercounty
"1031 PORTLAND PL 2, NIWOT, CO 80503",80503,2.0,1.5,900.0,481000,2018,bouldercounty
"275 PEARL ST 14, BOULDER, CO 80302",80302,3.0,2.0,1327.0,875000,2018,bouldercounty
"2850 COLLEGE AVE 402, BOULDER, CO 80303",80303,3.0,2.5,1993.0,720000,2018,bouldercounty
"76 MINEOLA CT , BOULDER, CO 80303-4400",80303-4400,4.0,2.5,2304.0,740000,2018,bouldercounty
"1304 SCRUB OAK CIR , BOULDER, CO 80305",80305,4.0,1.5,1834.0,945000,2018,bouldercounty
"2930 BROADWAY  B103, BOULDER, CO 80304",80304,1.0,1.0,572.0,90000,2018,bouldercounty
"2445 JUNCTION PL 303, AUSTIN, TX 78730",78730,3.0,1.5,1330.0,667000,2018,bouldercounty
